filename,model,demographic,fairness,accuracy
synthetic_data_random_13.csv,random,svi,0.01818367145428533,0.0234039669222739
synthetic_data_random_2.csv,random,svi,0.018469247187012306,0.023460531659372803
synthetic_data_random_3.csv,random,svi,0.019183360438290498,0.023446406813416882
synthetic_data_random_12.csv,random,svi,0.018456983316073882,0.023380024099458184
synthetic_data_random_10.csv,random,svi,0.018376939645570398,0.02361952366388345
synthetic_data_random_1.csv,random,svi,0.01847827526705611,0.023528006426632907
synthetic_data_random_11.csv,random,svi,0.019593253833547573,0.023459460186406274
synthetic_data_random_15.csv,random,svi,0.018677639708347727,0.02338174540802779
synthetic_data_random_4.csv,random,svi,0.018852430706283688,0.023535060363100883
synthetic_data_random_5.csv,random,svi,0.020095503232089938,0.023623508059089755
synthetic_data_random_14.csv,random,svi,0.020599963592233383,0.023416225871914054
synthetic_data_random_16.csv,random,svi,0.01858453710908146,0.023505832277048316
synthetic_data_random_7.csv,random,svi,0.018637199601109634,0.023420035744932035
synthetic_data_random_6.csv,random,svi,0.018460346006768658,0.023494712600365404
synthetic_data_random_17.csv,random,svi,0.02032632915900474,0.023540115000827068
synthetic_data_random_19.csv,random,svi,0.01960451427175545,0.023444461558585025
synthetic_data_random_8.csv,random,svi,0.019099508710675072,0.02360050097838092
synthetic_data_random_9.csv,random,svi,0.020228413841354796,0.023429244767562418
