GEODID,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,forest_landuse,road_residential,road_primary,road_other,transport_point,food_point,health_point,education_point,retail_point
53005010100,2.5862099825662885,0.7794863382338801,0.1304521970218414,6.237983336701996e-05,0.0,23.186047909299297,2.8158576170952183,26.538572913949615,39,6,1,3,3
53005010201,4.575663688912268,0.4070333824044838,4.424589306842974,0.00011422060455540418,0.8510268647669421,49.00259164522072,18.519118954081225,48.39083968019952,13,2,0,2,18
53005010203,1.2485368967483612,1.9021947016915541,0.3595216552645024,0.04778800259072763,0.0,18.848446856382925,3.6550713179270113,11.357956902678024,6,2,0,1,5
53005010204,0.5234976414163771,0.07818663086994775,0.0,0.010227553836776327,0.0,3.9833901398140106,1.6916314962022012,2.491031823978469,10,2,1,1,19
53005010300,2.290320070395291,0.08180577206690372,0.0,0.06151279117653829,0.13817207360649517,24.11236240560574,1.6462928531174064,9.475148869193243,9,1,0,3,10
53005010400,1.19083489090633,0.030843119072037316,0.0020214841500789467,0.004952011008172445,0.0,19.332935461006553,0.0,5.371475829936966,12,0,0,2,1
53005010500,0.7976420750964839,0.7975478733575961,0.0,0.09653450685319075,0.0,11.590508937561816,2.3382689860425883,13.033461191975258,47,27,10,6,45
53005010600,1.1565570415885875,0.7760780109475588,0.0660394050982843,0.17918672171071748,0.18452398631972722,17.165617708480692,1.636869420637157,18.077556898484882,45,18,2,7,33
53005010701,6.200274360560577,0.4256448156035196,0.0,0.03979992806805506,0.00869656831768802,25.501414109943237,10.246103112463727,28.17064765904924,0,0,0,1,0
53005010703,6.6411717586324475,0.17468466655337658,0.0644743923397598,0.0031528886991183617,1.6408071658544379,37.184346285787925,2.92138871267941,19.67938349149028,13,4,0,1,5
53005010705,6.315400184169626,0.08039929435385154,0.0,0.05170622388605185,0.0,38.306429878788435,1.9217353228326126,11.447098788659584,16,0,2,3,5
53005010707,2.3892050939352414,0.14788811896812473,0.0,4.997035066068435e-06,0.0,24.194292558442665,2.402352068550686,5.798432058427723,0,0,0,1,0
53005010708,4.7979391957177056,0.29724323664190505,0.0,0.1259288271320242,0.00036162704537991564,36.919839807431764,2.407362106199461,8.850312893387308,9,4,1,1,16
53005010807,1.2937441658020477,0.01349957410688172,0.0,0.028774096472099886,0.0,24.66415472884146,0.339125737547946,58.13705300961993,0,1,0,0,2
53005010809,2.030485235566037,0.8137621540269041,0.0,0.44638541974961427,0.0,26.301263773910286,3.7283111506265048,10.107801091486017,26,18,2,1,99
