origin,destination,synthetic_flows
53033000200,53033000600,32595.728168417674
53033000200,53033000100,40313.79897086914
53033000200,53033000402,17059.899959593542
53033000200,53033000401,18139.07431372309
53033000200,53033000500,12231.49858739656
53033000600,53033000200,33.63979630189046
53033000600,53033000100,17.61933441220825
53033000600,53033000402,43.97469489231929
53033000600,53033000401,32.89899432596194
53033000600,53033000500,21.867180067620044
53033000100,53033000200,58656.3580742533
53033000100,53033000600,24840.37782027396
53033000100,53033000402,16027.766063249257
53033000100,53033000401,16505.262989044564
53033000100,53033000500,12391.235053178907
53033000402,53033000200,6725.451956779682
53033000402,53033000600,16797.906494709503
53033000402,53033000100,4342.6679233713285
53033000402,53033000401,18412.276352870933
53033000402,53033000500,18515.697272268557
53033000401,53033000200,9277.96501059393
53033000401,53033000600,16305.253780309395
53033000401,53033000100,5802.2801011695
53033000401,53033000402,23889.11716224949
53033000401,53033000500,22018.383945677684
53033000500,53033000200,5240.823175652414
53033000500,53033000600,9078.6223046415
53033000500,53033000100,3648.99328447971
53033000500,53033000402,20124.028070425964
53033000500,53033000401,18444.533164800418
