origin,destination,synthetic_probabilities
53033000200,53033000600,0.2708636211435738
53033000200,53033000100,0.3349991604692466
53033000200,53033000402,0.14176416785435883
53033000200,53033000401,0.15073187895731335
53033000200,53033000500,0.1016411715755074
53033000600,53033000200,0.22426530867926975
53033000600,53033000100,0.11746222941472166
53033000600,53033000402,0.29316463261546194
53033000600,53033000401,0.21932662883974624
53033000600,53033000500,0.14578120045080029
53033000100,53033000200,0.45675051645956116
53033000100,53033000600,0.19342925082559675
53033000100,53033000402,0.12480642623285333
53033000100,53033000401,0.1285246415231509
53033000100,53033000500,0.09648916495883779
53033000402,53033000200,0.10379744971416616
53033000402,53033000600,0.25925095679707233
53033000402,53033000100,0.06702268610320906
53033000402,53033000401,0.2841663788756819
53033000402,53033000500,0.2857625285098706
53033000401,53033000200,0.12003629061614804
53033000401,53033000600,0.21095382221299983
53033000401,53033000100,0.07506863624350847
53033000401,53033000402,0.30907219492385457
53033000401,53033000500,0.2848690560034891
53033000500,53033000200,0.09269722793307769
53033000500,53033000600,0.16057842306173833
53033000500,53033000100,0.0645416857010402
53033000500,53033000402,0.3559443916448691
53033000500,53033000401,0.32623827165927477
