geoid,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,forest_landuse,road_residential,road_primary,road_other,transport_point,food_point,health_point,education_point,retail_point,total_population
53005010100,2.5862099825662885,0.7794863382338801,0.1304521970218414,6.237983336701996e-05,0.0,23.186047909299297,2.8158576170952183,26.53857291394961,39,6,1,3,3,4894
53005010201,4.575663688912268,0.4070333824044838,4.424589306842974,0.0001142206045554,0.8510268647669421,49.00259164522072,18.519118954081225,48.39083968019952,13,2,0,2,18,5440
53005010203,1.2485368967483612,1.902194701691554,0.3595216552645024,0.0477880025907276,0.0,18.848446856382925,3.6550713179270113,11.357956902678024,6,2,0,1,5,4055
53005010204,0.5234976414163771,0.0781866308699477,0.0,0.0102275538367763,0.0,3.9833901398140106,1.6916314962022012,2.491031823978469,10,2,1,1,19,2379
53005010300,2.290320070395291,0.0818057720669037,0.0,0.0615127911765382,0.1381720736064951,24.11236240560574,1.6462928531174064,9.475148869193244,9,1,0,3,10,6314
53005010400,1.19083489090633,0.0308431190720373,0.0020214841500789,0.0049520110081724,0.0,19.33293546100656,0.0,5.371475829936966,12,0,0,2,1,3469
53005010500,0.7976420750964839,0.7975478733575961,0.0,0.0965345068531907,0.0,11.590508937561816,2.3382689860425883,13.033461191975258,47,27,10,6,45,3050
53005010600,1.1565570415885875,0.7760780109475588,0.0660394050982843,0.1791867217107174,0.1845239863197272,17.165617708480692,1.636869420637157,18.07755689848488,45,18,2,7,33,4982
53005010701,6.200274360560577,0.4256448156035196,0.0,0.039799928068055,0.008696568317688,25.50141410994324,10.246103112463729,28.17064765904924,0,0,0,1,0,2035
53005010703,6.641171758632448,0.1746846665533765,0.0644743923397598,0.0031528886991183,1.640807165854438,37.184346285787925,2.92138871267941,19.67938349149028,13,4,0,1,5,3316
53005010705,6.315400184169626,0.0803992943538515,0.0,0.0517062238860518,0.0,38.30642987878844,1.9217353228326128,11.447098788659584,16,0,2,3,5,5256
53005010707,2.3892050939352414,0.1478881189681247,0.0,4.997035066068435e-06,0.0,24.194292558442665,2.402352068550686,5.798432058427723,0,0,0,1,0,3500
53005010708,4.7979391957177056,0.297243236641905,0.0,0.1259288271320242,0.0003616270453799,36.91983980743176,2.407362106199461,8.850312893387308,9,4,1,1,16,3792
53005010807,1.2937441658020477,0.0134995741068817,0.0,0.0287740964720998,0.0,24.66415472884146,0.339125737547946,58.13705300961993,0,1,0,0,2,1813
53005010809,2.030485235566037,0.8137621540269041,0.0,0.4463854197496142,0.0,26.30126377391029,3.7283111506265048,10.107801091486015,26,18,2,1,99,6935
53005010810,3.668399178070023,0.2774510957251418,0.0,0.0,0.0,32.90529073407536,2.102196499129811,9.247898915128989,7,1,0,1,22,4794
53005010811,8.401885315742689,0.01553054684935,0.0,0.0194020750794968,0.0,69.1048799674328,0.0,22.19917644123984,0,0,0,0,2,5113
